,patient_score,patient_online,educate,articleCount,spaceRepliedCount,totaldiagnosis,openSpaceTime,hot_num,hospitalName,keshi,good_at,introduction,doctor_title,doctor_id,doctorName,disease
0,396,7623,,22篇,7623位,6994位,2017-03-05 18:04,5.0,天津中医药大学第一附属医院,心血管科,治疗高血压病、冠心病、风心病、心衰、心律失常、房颤、房早、室早、窦慢/窦速、高血脂症、脑血管疾病、老年病及内科疑难杂症等。,"王恒和，男，48岁，四川平昌人。天津中医药大学第一附属医院主任医师，医学博士，硕士研究生导师。中国中西医结合学会会员。主要从事中西医结合心血管内科，专业工作年限21年。 1992/09-1997/07山东中医药大学中医系本科学生 2000/09-2003/07天津中医学院中医内科学硕士研究生 2008/09-2011/07天津中医药大学中医内科学博士研究生 专业特长： 擅长中西医结合治疗心脑血管疾病、老年病及内科疑难杂症，尤其在治疗冠心病、高血压、风心病、心衰、心律失常（房颤、房早、室早、窦缓、窦速）、心肌炎、脑血管病、高脂血症等方面有着丰富的临床经验和满意的疗效。 教学情况：作为硕士生导师，任现职以来共指导硕士研究生9名，已毕业1名；协助指导博士生、硕士生10余名，均已毕业。同时，承担本科生及进修生的临床教学工作。 主要学术见解：以心血管疾病为主要研究方向，致力于冠心病、心力衰竭、心律失常、高血压病等的中医和中西医结合治疗学研究。提出了“证治代谢组学”研究假说的思路与实践，进行中医证候的现代研究。硕士、博士均师从于毛静远教授，协助导师提出如下学术观点：（1）养血、活血、通络防治冠心病PCI术后再狭窄；（2）提出了“中西结合药动学”系列研究的理论与方法；（3）提出理气宽胸活血法防治心脏X综合征；（4）提出了中医药整体效应综合评价假说及柜架体系。 中国中西医结合学会心血管病专业委员会青年学组委员 天津中西医结合学会心血管病专业委员会委员 天津中医药学会心血管病专业委员会委员 作为第2主研人员完成的国家自然科学基金重大研究计划“心力衰竭气阴两虚及生脉注射液干预的代谢组学研究”成果（编号：90709037）2012年获中国中西医结合学会科技进步三等奖 作为第3主研人员完成的“治疗心衰常用中药静脉制剂对地高辛药动学的影响及减毒增效机制研究”成果（编号：20140201A）2014年获中国中西医结合学会科技进步二等奖 作为第4主研人员完成的国家中医药管理局课题：“生脉注射液对心力衰竭患者EDLS血浓度和地高辛肾排泄的影响”研究成果（编号：02-03ZP17）2005年获天津市科技进步三等奖 天津市重大科技攻关计划项目“中医内科疾病治疗方案建立及评价方法的示范研究”（编号：05YFGDSF02200）2010年获天津市科技进步三等奖（第12完成人） 2009年7月被评为中医一附院“纪念建国60周年”先进个人 2011年7月被国家中医药管理局评为“全国中医基本现状调查”先进个人 2016年1月被评为中医一附院2015年度“优秀医生” 主持国家自然科学基金面上项目1项（在研），主持完成卫生局和院级课题各1项，参与完成“十一五”国家科技支撑计划、国家自然科学基金、国家中医药管理局、天津市“重中之重”科技攻关项目等各级课题10项，取得科研成果9项。发表核心期刊论文近20篇。 （1）基于代谢组学的冠心病生化代谢谱与其中医证型的相关性研究编号：81573849国家自然科学基金面上项目课题负责人 （2）生脉注射液对心力衰竭患者EDLS血浓度和地高辛肾排泄的影响编号：02-03ZP17国家中医药管理局课题第4完成人 （3）心力衰竭气阴两虚证及生脉注射液干预的代谢组学研究编号：90709037国家自然科学基金重大研究计划课题第2完成人 （4）参麦注射液对心衰犬地高辛药动学的影响及机制研究编号：30371752国家自然科学基金课题第3完成人 （5）参附注射液对心衰大鼠地高辛药动学的影响编号：20030111天津市高等学校科技发展基金课题2007年5月通过天津市科学技术成果鉴定第2完成人 （6）化瘀通脉注射液对大鼠主动脉球囊损伤后内膜增殖影响的机制研究编号：津20100395市卫生局课题第2完成人 （7）生脉注射液对心衰大鼠地高辛药动学影响的实验研究编号：20010909天津市高等学校科技发展基金课题2007年5月通过天津市科学技术成果鉴定第4完成人 （8）理气宽胸活血法治疗心脏X综合征随机对照研究编号：05-012上海颜德馨中医药基金课题第2完成人 （8）心力衰竭中医分期辨治方案及疗效评价方法研究编号：2006BAI08B02-01“十一五”科技支撑计划第10完成人 （9）中医内科疾病治疗方案建立及评价方法的示范研究编号：05YFGDSF02200天津市重大科技攻关计划项目第12完成人 （10）化瘀通脉汤剂防治PCI术后主要心血管事件临床研究天津市卫生局课题编号：07065主持 主要论文（第一作者） （1）“证治代谢组学”研究假说的思路与实践2016年7月中国全科医学 （2）新生脉散片对慢性心力衰竭患者近期疗效及血浆BNP、AngⅡ、ALD水平的影响2016年02月山东医药 （3）脉安宁合剂联合盐酸普罗帕酮片治疗特发性期前收缩患者的临床观察2016年01月中国药房 （4）六五一丸（651丸）治疗冠心病心绞痛的临床观察2015年12月中国现代应用药学 （5）慢性心力衰竭患者中医证型与超声心动图的相关性研究2015年12月天津中医药 （6）慢性心力衰竭中医辨证分型与患者心功能及生存质量的关系2015年09月山东医药 （7）慢性心衰患者中医证型与原发疾病及危险因素的相关性研究2015年02月时珍国医国药 （8）慢性心衰患者中医证型与炎性细胞因子TNF-α、IL-1、IL-6相关性研究2015年01月新中医 （9）慢性心力衰竭中医证候客观化研究进展2013年02月长春中医药大学学报 （10）冠心病中医证型与血脂、C-反应蛋白及同型半胱氨酸相关性研究2013年04月辽宁中医杂志 （11）中医药整体效应综合评价方法的建立，中医杂志，2009，50（11）：1036～1038 （12）中西医结合冠心病单元模式建立探讨，时珍国医国药，2010，21（4）：961～962 （13）化瘀通脉汤剂对经皮冠状动脉介入治疗术后心血管事件影响研究，辽宁中医杂志，2010，37（3）：455～458 （14）黄芪注射液治疗充血性心力衰竭临床研究，新中医，2010，42（1）：13～15 （15）参麦注射液对心衰犬肿瘤坏死因子α、白介素1β、白介素6影响的实验研究，中国实验方剂学杂志,2010（7）：105～107 （16）冠心病中医证候客观化研究，长春中医药大学学报，2010,26(2)：292～294",主任医师,273242,王恒和,gaoxueya
0,555,9930,教授,20篇,9930位,6076位,2008-06-08 12:00,4.8,中山大学附属第一医院罗初凡医生个人工作室（广州市 越秀区）,心血管内科心血管内科,冠心病介入治疗，冠心病，高血压病，微血管性心绞痛,罗初凡，中山大学附属第一医院心内科教授、主任医师、硕士研究生导师。主要研究方向为冠心病介入诊疗和冠状动脉微循环障碍。 广东省介入心脏病学会影像与功能分会副主任委员 广东省健康管理学会心血管专业委员会常委 国内外多家医学专业期刊审稿专家 研究课题《电子束CT无创诊断心血管疾病》2006年获广东省科学技术奖励二等奖 广东省科技攻关基金项目2项。 广东省自然科学基金1项。 作为核心成员参与国家及省部级多项科研项目。 迄今在国内核心期刊发表研究论文70多篇，发表SCI论文20余篇（其中第一作者和/或通讯作者11篇）。 参与学术专著撰写6本。,主任医师,98087,罗初凡,gaoxueya
0,0,13,,0篇,13位,11位,2019-06-05 18:15,3.4,天津市胸科医院,心血管内科,冠心病介入治疗、永久起搏器植入术及心律失常射频消融,"孙姗，女，毕业于天津医科大学医学系，本科，现任心内科六病区主任。从事临床医疗工作近30年,积累了丰富的临床和科研工作的实际经验，能独立完成心内科常见和多发病以及某些重症、疑难病、复杂病的诊断和治疗工作，有多年的冠脉和心律失常介入诊疗经验。能够完成冠脉多支病变、分叉病变、完全闭塞病变等复杂、疑难的手术治疗工作，每年指导或独立完成的冠脉介入手术一千余例；完成心律失常的射频消融近300例；完成永久起搏器安置近100例（包括ICD及CRT-D等起搏器）。在国内核心及专业刊物上发表学术论文20余篇,参加编写学术专著四部，参加或承担多项科研课题，并获得天津市科学技术成果奖。",主任医师,45232,孙姗,gaoxueya
0,0,29,,0篇,29位,0位,2011-08-19 13:58,3.4,天津市胸科医院,心血管内科,冠心病、高血压的无创及有创诊断和治疗；冠脉介入诊治,"刘玉洁，女，毕业天津医科大学医学系，硕士研究生导师，现任心内科四病区主任。2000-2002年在美国纽约州大学和新泽西医学口腔大学从事分子生物学和药理学研究工作。从事临床医疗工作近30年,对心内科常见和多发病以及某些重症、疑难病、复杂病的诊断和治疗具有丰富的实际经验。有多年的冠脉介入诊治经验，能够完成冠脉多支病变、分叉病变、完全闭塞病变等复杂、疑难的手术治疗工作，每年指导或独立完成的冠脉介入手术一千余例。在国内核心及专业刊物上发表学术论文40余篇,参加编写学术专著四部。参加或承担科研课题10余项，获天津市科技进步二等奖1项，获天津市科技进步三等奖1项，获天津市卫生局科技进步三等奖2项，获天津市科学技术成果6项。现为中国中西医结合学会心血管专业委员会委员，天津市中西医结合学会心血管专业委员会副主任委员，中国循证心血管病杂志编委，天津市医学考试中心命题专家，天津市医疗事故鉴定专家，天津市高级评审委员会评审专家，天津仲裁委员会仲裁员。",主任医师,45225,刘玉洁,gaoxueya
0,0,0,,,,,,3.4,浙江大学医学院附属第二医院,心血管内科,心血管内科疾病的诊治，心脏起搏术、心律失常的射频消融手术及先天性心脏病的非开胸封堵手术,马骥，男，心血管内科主任医师，心内科副主任，病区主任。毕业于浙江医科大学。 擅长治疗：各种心血管疑难杂症，尤其是心动过速及房颤的射频消融术、先天性心脏病的非开胸封堵手术、起搏器植入术、经皮冠状动脉腔内成形术、支架植入术等各种心血管介入诊治工作。 1）学术任职：浙江省心电生理与起搏分会主任委员 2）医疗成就：早年曾赴德国访问学习多年，从事内科学心血管病临床及研究工作20余年，临床经验丰富。对冠心病、高血压、高脂血症、心律失常、心力衰竭等病的诊治有丰富的临床经验。在国家及省级以上刊物发表《Amplatzer封堵器用于先心病动脉导管未闭、室间隔缺损及Ⅱ孔型房间隔缺损的介入治疗》、《异丙酚在心脏电复律的应用》等专业学术论文多篇。在先天性心脏病的非开胸封堵手术、心动过速及房颤的射频消融手术的诊断与治疗处于浙江省领先水平。目前致力于心房颤动的研究。,主任医师,30806,马骥,gaoxueya
0,0,516,,0篇,516位,213位,2011-10-14 16:42,3.4,浙江大学医学院附属第二医院,心血管内科,心血管内科疾病的诊治，尤其高血压、心动过缓、心动过速、早搏、房颤的治疗。,蔡思宇，男，心血管内科主任医师。毕业于浙江医科大学，心血管内科基础知识扎实，擅长心血管内科疾病的诊治。如冠心病、高血压、心力衰竭和心律失常的诊断与治疗，对疑难危重心血管病的诊治也有一定经验。在中华心血管病杂志、中华医学杂志发表论著多篇。负责多项临床研究及课题。,主任医师,30795,蔡思宇,gaoxueya
0,0,0,,,,,,3.4,浙江大学医学院附属第一医院浙江大学医学院附属第四医院,心血管内科心血管内科,高血压、冠心病、心力衰竭的诊断及治疗,"金争鸣，男，主任医师，医学硕士，硕士研究生导师，1982年毕业于浙江医科大学杭州分校，1994年浙江医科大学硕士研究生毕业获硕士学位；从事医疗、教学、科研工作20余年，长期在临床一线致力于心血管疾病的诊疗和救治。至今在国内外杂志发表论文十余篇，承担浙江省卫生厅、浙江省中医药局等多项科研课题。擅长治疗：高血压、冠心病、心力衰竭的诊断及治疗。 研究方向：高血压、冠心病、心力衰竭 主要论文 1、冠心病患者脂蛋白(a)分析心功能杂志1997,17(3): 2、高血压患者左室肥厚与胰岛素抵抗关系的临床研究浙江实用医学1999,4(2):3-5. 3、射频导管消融对心脏自主神经功能的影响浙江医学2000,22(1):6-7. 4、超重对高血压患者胰岛素抵抗的影响浙江大学学报(医学版)2000,29(5):218-220. 5、充血性心力衰竭患者心率变异及其与室性心律失常的关系中华内科杂志2001,40(2):123-124. 6、肥胖对高血压左室肥厚的影响临床心血管病杂志2002,18(5):209-210. 7、射频导管消融对血小膜粘附分子表达的影响浙江医学2002,24(7):387-389. 8、射频导管消融对内皮与血小板功能的影响中华内科杂志2003,42(6):400-402. 9、充血性心力衰竭患者早期肾损害的临床研究中华内科杂志2005,44(4): 10、浙江省602例选择性冠状动脉造影患者血脂水平分析中华流行病学杂志2006,27(10):897-900. 11、StudyofthecorrelationbetweenlipidlevelsandtheseverityofcoronaryatherosclerosisinaChinesepopulationsample.ActaCardil,2006Dec;61(6):603-606.",主任医师,30469,金争鸣,gaoxueya
0,0,0,,,,,,3.4,天津市胸科医院,心血管内科,,,主任医师,29518,马梅,gaoxueya
0,0,312,,0篇,312位,1位,2018-03-19 17:34,3.4,浙江大学医学院附属第一医院,心血管内科,高血压、高血脂、冠心病、心律失常、心力衰竭、各类心脏疾病,姚雪艳，女，主任医师，硕士，1984年毕业于浙江医科大学医学系，2001年获复旦大学临床医学硕士学位。1984年8月～1995年2月，浙江省中医药研究院心血管室工作。1995年2月至今，浙江大学附属第一医院心内科工作。从事医疗、教学、科研工作34年。至今已在国内外杂志发表论文十多篇，承担省科委、省教委、卫生厅等多项课题。,主任医师,30319,姚雪艳,gaoxueya
0,395,15537,教授,1篇,15537位,10878位,2011-08-01 16:06,5.0,山西省人民医院山西白求恩医院,内分泌科内分泌科,内分泌及代谢性疾病。特别是甲亢，甲减，妊娠期甲状腺疾病，糖尿病及其并发症的临床诊治。,柳洁，女，主任医师，教授，硕士生导师。1982年毕业于山西医科大学医疗专业，从事内分泌及代谢疾病的临床科研教学30年，积累了丰富的临床经验。1988年赴日本研修学习，发表论文60余篇，获省科技进步奖五项，目前主持山西省归国留学基金课题，并参与多项省级课题。主持完成多项有关中国糖尿病患病率及慢性并发症山西地区的调查。培养硕士研究生20名。1995年被推荐为山西省“医学学科带头人”。2010年评为“山西名医”。荣获2011年中国内分泌代谢科医师奖称号。 　擅长领域：主要致力于内分泌疾病，特别是糖尿病临床方面的研究。 兼任中华医学会糖尿病委员会常务委员，中华医学会内分泌委员会委员，山西省医学会糖尿病专业委员会主任委员，山西省医师协会内分泌医师分会会长，山西医学会内分泌专业委员会副主任委员。,主任医师,29060,柳洁,gaoxueya
0,2,266,教授,0篇,266位,25位,2010-02-15 16:06,3.4,山东省立医院,神经内科,头痛、眩晕、神经衰弱、肌病、周围神经病、脊髓病、脑炎、多发性硬化、脑血管病及癫痫等神经内科疾病的诊治，尤其对脑血管病、癫痫及一些疑难病有深入的研究,崔元孝，男，主任医师，教授，医学博士，硕士研究生导师。山东省抗癫痫协和副会长、山东省康复医学会理事、山东省医学会疼痛分会委员、脑血管病分会委员、中国医师协和山东省神经内科分会常务委员，擅长头痛、眩晕、神经衰弱、肌病、周围神经病、脊髓病、脑炎、多发性硬化、脑血管病及癫痫等神经内科疾病的诊治，尤其对脑血管病、癫痫及一些疑难病有深入的研究。获省科委三等奖三项，省卫生厅三等奖二项。在国家级杂志上共发表专业论文50余篇。主编书籍四部，副主编两部，参编两部。,主任医师,28666,崔元孝,gaoxueya
0,0,0,,,,,,3.4,山东省立医院,心血管内科,心血管病及老年病的诊治，对高血压、高脂血症、冠心病等有丰富的临床经验，对糖尿病、呼吸道疾病的诊治有一定的临床经验,李文华，女，主任医师，大学毕业后分配到山东省立医院，一直从事临床医学工作至今，轮转过内科各个专业，对各专业疾病都有一定的经验，最终固定心血管专业，多年来刻苦钻研医疗技术，了解国内外医学进展，不断提高自己的医疗水平，更丰富了心血管疾病的诊疗技术，积累了丰富的临床经验。撰写了大量医学论文和科研，在国内外学术期刊发表学术论文30余篇，参编著作两部，副主编一部，承担参与国家、省、厅级科研项目4项，其中获山东省科技进步三等奖2项，获山东心功能研究会科技创新三等奖一项。从事临床多年，主攻心血管专业，临床经验丰富，业务熟练，尤其对高血压，冠心病，心脏瓣膜病，心律失常，高脂血症，肺动脉高压，心力衰竭等疾病的诊断及治疗有非常丰富的临床经验。,主任医师,28633,李文华,gaoxueya
0,0,0,教授,,,,,3.4,南京大学医学院附属金陵医院,心脏内科,高血压、冠心病、心肌病、心力衰竭、心律失常及与心血管相关的疑难杂症等,徐军，男，主任医师，教授，干部病区心脏内科主任。医学博士，硕士研究生导师、博士后联系导师，1957年12月出生，1975年8月参加工作，1982年南京医学院医疗系本科毕业、获学士学位，1987年北京协和医学院、阜外医院心脏内科研究生毕业、获硕士学位，1994年南京医科大学心脏内科研究生毕业、获博士学位。1987年在南京总医院工作至今。 自1982年起一直从事心血管内科疾病的临床诊治工作。其中1984年至2003年期间从事冠脉介入、心脏起搏、二尖瓣和肺动脉瓣狭窄球囊扩张以及肾动脉狭窄球囊扩张的介入性手术操作；03年以后主要从事老年心血管内科疾病的治疗，负责心血管疾病的干部保健工作。 对高血压、冠心病、心肌病、心力衰竭、心律失常及与心血管相关的疑难杂症方面有丰富的经验，在难治性高血压、顽固性心力衰竭、冠脉搭桥或支架术后心绞痛的药物治疗方面积累了不少成功的案例，经常主持和参与以心血管疾病为主的多器官危重病人的抢救和治疗，并有较高诊治的水平。 多年来，以第一作者发表心血管疾病相关论文70篇左右，并以第一完成人获军队科技进步三等奖两项，参与完成军队科技进步二等奖两项及其它成果数项，先后在多个相关的专业学会和专业期刊任职，分别获得南京军区优秀中青年科技工作者、南京军区保健工作先进个人、全军保健工作先进个人的荣誉表彰，荣获过三等功。,主任医师,28287,徐军,gaoxueya
0,0,1575,,12篇,1575位,206位,2009-07-18 22:49,3.4,山东大学齐鲁医院,心血管内科,冠心病、高血压、心律失常等常见病的诊断、治疗和预防；擅长心力衰竭和肺动脉高压的诊断、治疗,"纪求尚，山东大学齐鲁医院心脏内科，博士，硕士生导师，主任医师。 毕业于山东大学医学院。2004年赴瑞典卡罗林斯卡医学院进修学习。 20多年来勤奋地工作在临床第一线。医德高尚，业务扎实，知识面广。在心血管疾病诊断及治疗方面有很深造诣。尤其擅长危重病的救治。是山东省卫生厅应急专家。在山东地区较早开展了肺动脉高压的诊断与治疗技术。是中华慈善总会肺动脉高压治疗援助项目的注册医生,是中国医师协会山东省肺高压规范化诊疗基地执行主任。",主任医师,27311,纪求尚,gaoxueya
0,0,0,教授,,,,,3.5,河南省人民医院,高血压科,难治性高血压及各种疑难复杂高血压,王浩，男，主任医师，教授，国家级知名专家，研究生导师，河南省人民医院高血压科创始人（第一任主任），河南省高血压防治中心创始人、河南省高血压控制研究中心创始人，河南省高血压诊疗中心创始人。 致力于高血压研究20余年。在疑难高血压、难治性高血压、继发性高血压、发作性高血压、心理因素性高血压、罕见类型高血压等方面有丰富的临床经验。在国内较早开展继发性高血压——嗜铬细胞瘤的定性检测。受学术团体的邀请在全国各地作难治性高血压、继发性高血压、发作性高血压、心理因素性高血压、高血压疑难病例分析等学术讲座。2009年于澳大利亚昆士兰大学亚历山大公主医院高血压科研修。曾受中央电视台，河南电视台，新浪网、健康报、大河报等媒体邀请作高血压专题讲座。经常有全国各地许多患者慕名前来就诊。 兼任河南省高血压防治中心专家委员会主任委员，河南省医学会高血压防治分会第二、三届主任委员，中国医师协会高血压专业委员会常委，中国医师协会继发性、难治性高血压工作委员会副主任委员、中国高血压联盟常务理事、中国农村卫生协会高血压专业委员会副会长，中华医学会心血管病学分会精准心血管病学学组委员、中国医师协会中西医结合分会高血压专家委员常委、中国医疗保健国际交流促进会高血压专业委员会常委、中国医药教育协会高血压专业委员会常委、中国医促会血管疾病高血压分会委员、中国医师协会全科医师分会第三届委员会委员、中国高血压教育与管理计划专家委员会委员、光明网高血压专家组委会副主席、人民网高血压专家顾问团副主任委员、河南省医学会常务理事、《中华高血压杂志》编委、《高血压合理用药指南》编委，《中国高血压基层管理指南》修订学术委员会委员、《中国高血压防控蓝皮书》2015编委会编委。 主持科研课题8项，参与了国家十一五和国家十二五高血压重大项目的科学研究。发表论文30余篇，专著10部，获科研成果6项，发明专利4项。,主任医师,26859,王浩,gaoxueya
0,0,0,副教授,,,,,3.4,南京鼓楼医院,心胸外科,心胸外科的各种疾病的诊断、治疗及手术,崔良顺，男，主任医师，副教授，擅长心胸外科的各种疾病的诊断、治疗及手术。,主任医师,24861,崔良顺,gaoxueya
